target,target URI,target PoS,n,source,source URI,source PoS,retarget candidates,decision,retarget to,comment
{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,3,{slåning_§1},https://wordnet.dk/dannet/data/synset-28203,noun,{slå_1§1} <https://wordnet.dk/dannet/data/synset-34111>,,https://wordnet.dk/dannet/data/synset-34111,
{udtrykke_§1},https://wordnet.dk/dannet/data/synset-22006,verb,3,{beklagelse_§2},https://wordnet.dk/dannet/data/synset-21851,noun,,,,
{udtrykke_§1},https://wordnet.dk/dannet/data/synset-22006,verb,3,{klagesang_§1},https://wordnet.dk/dannet/data/synset-21904,noun,,,,
{udtrykke_§1},https://wordnet.dk/dannet/data/synset-22006,verb,3,{omskrivning_§1; perifrase_§1},https://wordnet.dk/dannet/data/synset-21946,noun,,,,
{abstract_entity},https://wordnet.dk/dannet/data/synset-3290,noun,2,{have_2§3},https://wordnet.dk/dannet/data/synset-42929,verb,,,,
{abstract_entity},https://wordnet.dk/dannet/data/synset-3290,noun,2,{være_§2b},https://wordnet.dk/dannet/data/synset-32851,verb,,,,
{aktivitet_§1},https://wordnet.dk/dannet/data/synset-14789,noun,2,{arbejde_2§1},https://wordnet.dk/dannet/data/synset-2368,verb,,,,
{aktivitet_§1},https://wordnet.dk/dannet/data/synset-14789,noun,2,{bolle_2§1; få noget på den dumme_§3},https://wordnet.dk/dannet/data/synset-56573,adjective+verb,,,,
{betale_§1},https://wordnet.dk/dannet/data/synset-43755,verb,2,{rentebetaling_§1},https://wordnet.dk/dannet/data/synset-53721,noun,,,,
{betale_§1},https://wordnet.dk/dannet/data/synset-43755,verb,2,{skattebetaling_§1},https://wordnet.dk/dannet/data/synset-53723,noun,,,,
{dygtighed_§1a; evne_1§1a; kapacitet_§1a; kunnen_§1; nemme_1§1; sans_1§2; streng_1§2a; talent_1§1},https://wordnet.dk/dannet/data/synset-25985,noun,2,{kontrollere_§2},https://wordnet.dk/dannet/data/synset-26044,verb,{evne_2§1} <https://wordnet.dk/dannet/data/synset-42938>,,https://wordnet.dk/dannet/data/synset-42938,
{dygtighed_§1a; evne_1§1a; kapacitet_§1a; kunnen_§1; nemme_1§1; sans_1§2; streng_1§2a; talent_1§1},https://wordnet.dk/dannet/data/synset-25985,noun,2,{modstå_§2},https://wordnet.dk/dannet/data/synset-26069,verb,{evne_2§1} <https://wordnet.dk/dannet/data/synset-42938>,,https://wordnet.dk/dannet/data/synset-42938,
{fremragende_§1},https://wordnet.dk/dannet/data/synset-28817,adjective,2,{i særklasse_§3},https://wordnet.dk/dannet/data/synset-71460,noun,,,,
{fremragende_§1},https://wordnet.dk/dannet/data/synset-28817,adjective,2,{sparke røv_§31},https://wordnet.dk/dannet/data/synset-71457,noun,,,,
{tale_1§1},https://wordnet.dk/dannet/data/synset-21630,noun,2,{drille_§1},https://wordnet.dk/dannet/data/synset-48291,verb,{tale_2§1} <https://wordnet.dk/dannet/data/synset-30583>; {tale_2§3a} <https://wordnet.dk/dannet/data/synset-48443>; {tale_2§3} <https://wordnet.dk/dannet/data/synset-288>,,,
{tale_1§1},https://wordnet.dk/dannet/data/synset-21630,noun,2,{råbe_§4(2) op},https://wordnet.dk/dannet/data/synset-21548,verb,{tale_2§1} <https://wordnet.dk/dannet/data/synset-30583>; {tale_2§3a} <https://wordnet.dk/dannet/data/synset-48443>; {tale_2§3} <https://wordnet.dk/dannet/data/synset-288>,,,
{undersøge_§1},https://wordnet.dk/dannet/data/synset-41732,verb,2,{eftersyn_§1},https://wordnet.dk/dannet/data/synset-41692,noun,,,,
{undersøge_§1},https://wordnet.dk/dannet/data/synset-41732,verb,2,{udredning_§1},https://wordnet.dk/dannet/data/synset-41731,noun,,,,
{afskedige_§1},https://wordnet.dk/dannet/data/synset-30791,verb,1,{afskedigelse_§1},https://wordnet.dk/dannet/data/synset-70991,noun,,,,
{afspille_§1; spille_2§7 af},https://wordnet.dk/dannet/data/synset-45003,verb,1,{slowmotion_§1},https://wordnet.dk/dannet/data/synset-73223,noun,,,,
{afvige_§1},https://wordnet.dk/dannet/data/synset-48175,verb,1,{divergens_§1},https://wordnet.dk/dannet/data/synset-72341,noun,,,,
{anlægge_§1},https://wordnet.dk/dannet/data/synset-47791,verb,1,{vejbyggeri_§1; vejbygning_§1},https://wordnet.dk/dannet/data/synset-73134,noun,,,,
{bebygge_§1},https://wordnet.dk/dannet/data/synset-43435,verb,1,{bebyggelsesform_§1},https://wordnet.dk/dannet/data/synset-55139,noun,,,,
{befinde_§2(1) sig; opholde_§2 sig},https://wordnet.dk/dannet/data/synset-43735,verb,1,{ophold_§1a},https://wordnet.dk/dannet/data/synset-77747,noun,,,,
{beskytte_§1},https://wordnet.dk/dannet/data/synset-44048,verb,1,{korrosionsbeskyttelse_§1},https://wordnet.dk/dannet/data/synset-70153,noun,,,,
